Fpres,N, Gtype, Elev(m), Village
9, 15, ADA2, 1000, Fonni
34, 100, ADA1, 1000, Fonni
3, 13, ADA2, 797, Seulo
27, 112, ADA1, 797, Seulo
3, 13, ADA2, 796, Aritzu
13, 107, ADA1, 796, Aritzu
9, 18, ADA2, 648, Burcei
26, 67, ADA1, 648, Burcei
9, 25, ADA2, 590, Lanusei
43, 112, ADA1, 590, Lanusei
4, 20, ADA2, 550, Bitti
26, 119, ADA1, 550, Bitti
3, 10, ADA2, 442, Jerzu
16, 45, ADA1, 442, Jerzu
5, 7, ADA2, 345, Lode
34, 119, ADA1, 345, Lode
1, 9, ADA2, 228, Sedilo
29, 104, ADA1, 228, Sedilo
2, 8, ADA2, 185, Ottana
38, 94, ADA1, 185, Ottana
1, 4, ADA2, 45, Villasimius
25, 56, ADA1, 45, Villasimius
1, 15, ADA2, 15, Tortoli
38, 107, ADA1, 15, Tortoli
9, 26, ADA2, 10, Oristano
62, 185, ADA1, 10, Oristano
