VO2,	Sp,	Sal
11.11,1,50
9.74,1,50
18.80,1,50
9.74,1,50
10.50,1,50
14.60,1,50
11.10,1,50
11.80,1,50
5.20,1,75
5.20,1,75
7.18,1,75
6.37,1,75
13.20,1,75
8.39,1,75
10.40,1,75
7.18,1,75
7.16,1,100
6.78,1,100
13.60,1,100
8.93,1,100
8.26,1,100
14.00,1,100
16.10,1,100
9.66,1,100
9.63,2,50
6.38,2,50
13.40,2,50
14.50,2,50
14.50,2,50
10.20,2,50
17.70,2,50
12.30,2,50
4.47,2,75
9.90,2,75
5.75,2,75
11.80,2,75
4.95,2,75
6.49,2,75
5.44,2,75
9.90,2,75
6.14,2,100
3.86,2,100
10.40,2,100
5.49,2,100
6.14,2,100
10.00,2,100
11.60,2,100
5.80,2,100
